# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Vicious Clown | {2}{R} | Creature - Human Clown | - |  | Whenever another creature you control with power 2 or less enters, this creature gets +2/+0 until end of turn.
Merchant of Many Hats | {1}{B} | Creature - Human Peasant Ally | - |  | {2}{B}: Return this card from your graveyard to your hand.
Krumar Initiate | {1}{B} | Creature - Human Cleric | - |  | {X}{B}, {T}, Pay X life: This creature endures X. Activate only as a sorcery.
Namazu Trader | {3}{B} | Creature - Fish Citizen | - | TREAS | When this creature enters, you lose 1 life and create a Treasure token. / Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, surveil 2.
Hobgoblin Captain | {1}{R} | Creature - Goblin Barbarian | - |  | Pack tactics — Whenever this creature attacks, if you attacked with creatures with total power 6 or greater this combat, this creature gains first strike until end of turn.
Malicious Eclipse | {1}{B}{B} | Sorcery | - |  | All creatures get -2/-2 until end of turn. If a creature an opponent controls would die this turn, exile it instead.
Miasma Demon | {4}{B}{B} | Creature - Demon | - |  | Flying / When this creature enters, you may discard any number of cards. When you do, up to that many target creatures each get -2/-2 until end of turn.
Flamekin Gildweaver | {3}{R} | Creature - Elemental Sorcerer | - | TREAS | Trample / When this creature enters, create a Treasure token.
Blood Burglar | {1}{B} | Creature - Vampire Rogue | - |  | During your turn, this creature has lifelink.
Stomped by the Foot | {1}{B} | Instant | - |  | Kicker—Sacrifice an artifact or creature. / Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -5/-5 until end of turn instead.
Duel Tactics | {R} | Sorcery | - | RMVL | Duel Tactics deals 1 damage to target creature. It can't block this turn. / Flashback {1}{R}
Taxi Driver | {1}{R} | Creature - Human Pilot | - |  | {1}, {T}: Target creature gains haste until end of turn.
Weirded Vampire | {3}{B} | Creature - Vampire Horror | - |  | Madness {2}{B}
Gastal Raider | {2}{B} | Creature - Vampire Rogue | - |  | Start your engines! / When this creature enters, target opponent reveals their hand. You choose an instant or sorcery card from it. That player discards that card. / Max speed — This creatur
Skewer Slinger | {1}{R} | Creature - Dwarf Knight | - |  | Reach / Whenever this creature blocks or becomes blocked by a creature, this creature deals 1 damage to that creature.
Shredder's Armor | {1}{B} | Artifact - Equipment | - |  | Equipped creature gets +2/+1. / When this Equipment enters, attach it to target creature you control. / Equip—Sacrifice another nonland permanent. Activate only once each turn.
Voltage Surge | {R} | Instant | - | RMVL | As an additional cost to cast this spell, you may sacrifice an artifact. / Voltage Surge deals 2 damage to target creature or planeswalker. If this spell's additional cost was paid, Voltage 
Cackling Slasher | {3}{B} | Creature - Human Assassin | - |  | Deathtouch / This creature enters with a +1/+1 counter on it if a creature died this turn.
Adventurous Eater // Have a Bite | {2}{B} // {B} | Creature - Human Warlock // Sorcery | - |  | This creature enters prepared. / // / Put a +1/+1 counter on target creature. You gain 1 life.
Magmablood Archaic | {2/R}{2/R}{2/R} | Creature - Avatar | - | CAST-TRIG | Reach, trample / Converge — This creature enters with a +1/+1 counter on it for each color of mana spent to cast it. / Whenever you cast an instant or sorcery spell, creatures you control ge
Primordial Gnawer | {4}{B} | Creature - Insect Horror | - |  | When this creature dies, discover 3.
Agents of HYDRA | {1}{B} | Creature - Human Spy Villain | - |  | When this creature dies, create a 2/1 black Villain creature token with menace.
Thaumaton Torpedo | {1} | Artifact | - | RMVL | {6}, {T}, Sacrifice this artifact: Destroy target nonland permanent. This ability costs {3} less to activate if you attacked with a Spacecraft this turn.
Impossible Inferno | {4}{R} | Instant | - | RMVL | Impossible Inferno deals 6 damage to target creature. / Delirium — If there are four or more card types among cards in your graveyard, exile the top card of your library. You may play it unt
Tragic Banshee | {4}{B} | Creature - Spirit | - |  | Morbid — When this creature enters, target creature an opponent controls gets -1/-1 until end of turn. If a creature died this turn, that creature gets -13/-13 until end of turn instead.
Spicy Oatmeal Pizza | {2}{R} | Artifact - Food | - | PING | When this artifact enters, it deals 4 damage to any target and 3 damage to you. / {2}, {T}, Sacrifice this artifact: You gain 3 life.
Sower of Chaos | {3}{R} | Creature - Devil | - |  | {2}{R}: Target creature can't block this turn.
Adorned Crocodile | {4}{B} | Creature - Crocodile | - |  | When this creature dies, create a 2/2 black Zombie Druid creature token. / Renew — {B}, Exile this card from your graveyard: Put a +1/+1 counter on target creature. Activate only as a sorcer
Reckless Detective | {1}{R} | Creature - Devil Detective | - | CANTRIP | Whenever this creature attacks, you may sacrifice an artifact or discard a card. If you do, draw a card and this creature gets +2/+0 until end of turn.
Scalestorm Summoner | {2}{R} | Creature - Human Warlock | - |  | Whenever this creature attacks, create a 3/1 red Dinosaur creature token if you control a creature with power 4 or greater.
Idol of the Deep King // Sovereign's Macuahuitl | {2}{R} | Artifact // Artifact - Equipment | - | PING | Flash / When this artifact enters, it deals 2 damage to any target. / Craft with artifact {2}{R} / // / When this Equipment enters, attach it to target creature you control. / Equipped creat
Red Room Recruit | {1}{B} | Creature - Human Spy Villain | - |  | When this creature enters, it connives.
Memorial Team Leader | {3}{R} | Creature - Kavu Soldier | - |  | During your turn, other creatures you control get +1/+0. / Warp {1}{R}
Unwilling Ingredient | {B} | Creature - Frog | - | CANTRIP | Menace / {2}{B}, Exile this card from your graveyard: You draw a card and you lose 1 life.
Slumbering Cerberus | {1}{R} | Creature - Dog | - |  | This creature doesn't untap during your untap step. / Morbid — At the beginning of each end step, if a creature died this turn, untap this creature.
Invasive Maneuvers | {1}{R} | Instant | - | RMVL | Invasive Maneuvers deals 3 damage to target creature. It deals 5 damage instead if you control a Spacecraft.
Nebula Dragon | {6}{R} | Creature - Dragon | - | PING | Flying / When this creature enters, it deals 3 damage to any target.
Crypt Feaster | {3}{B} | Creature - Zombie | - |  | Menace / Threshold — Whenever this creature attacks, if there are seven or more cards in your graveyard, this creature gets +2/+0 until end of turn.
Fire Nation Raider | {3}{R} | Creature - Human Soldier | - |  | Raid — When this creature enters, if you attacked this turn, create a Clue token.
Most Valuable Slayer | {3}{R} | Creature - Human Warrior | - |  | Whenever you attack, target attacking creature gets +1/+0 and gains first strike until end of turn.
Meticulous Artisan | {3}{R} | Creature - Djinn Artificer | - | TREAS | Prowess / When this creature enters, create a Treasure token.
Tome Blast | {1}{R} | Sorcery | - | PING | Tome Blast deals 2 damage to any target. / Flashback {4}{R}
Repulsor Blast | {3}{R} | Sorcery | - | RMVL | Teamwork 2 / Repulsor Blast deals 5 damage to target creature. If this spell was cast using teamwork, it also deals 2 damage to that creature's controller.
Prowcatcher Specialist | {1}{R} | Creature - Goblin Warrior | - |  | Haste / Exhaust — {3}{R}: Put two +1/+1 counters on this creature.
Downwind Ambusher | {3}{B} | Creature - Skunk Assassin | - | RMVL | Flash / When this creature enters, choose one — / • Target creature an opponent controls gets -1/-1 until end of turn. / • Destroy target creature an opponent controls that was dealt damage 
Voidpouncer | {1}{R} | Creature - Eldrazi | - |  | Devoid / Kicker {2}{C} / If this creature was kicked, it enters with two +1/+1 counters and a trample counter on it and with haste.
Lead Pipe | {B} | Artifact - Clue Equipment | - | CANTRIP | Equipped creature gets +2/+0. / Whenever equipped creature dies, each opponent loses 1 life. / {2}, Sacrifice this Equipment: Draw a card. / Equip {2}
Bespoke Battlegarb | {1}{R} | Artifact - Equipment | - |  | Equipped creature gets +2/+0. / Celebration — At the beginning of combat on your turn, if two or more nonland permanents entered the battlefield under your control this turn, attach this Equ
Battlesong Berserker | {3}{R} | Creature - Human Berserker | - |  | Whenever you attack, target creature you control gets +1/+0 and gains menace until end of turn.
Sandskitter Outrider | {3}{B} | Creature - Goblin Soldier | - |  | Menace / When this creature enters, it endures 2.
Arnim Zola, Bio-Fanatic | {2}{B} | Legendary Artifact Creature - Scientist Villain | - |  | {3}, {T}: Create a tapped 2/1 black Villain creature token with menace. Activate only if there are two or more creature cards in your graveyard.
Zealous Lorecaster | {5}{R} | Creature - Giant Sorcerer | - |  | When this creature enters, return target instant or sorcery card from your graveyard to your hand.
Kin-Tree Nurturer | {2}{B} | Creature - Human Druid | - |  | Lifelink / When this creature enters, it endures 1.
Vanquish the Weak | {2}{B} | Instant | - | RMVL | Destroy target creature with power 3 or less.
Ronin, Shadow Stalker | {2}{B} | Legendary Creature - Human Rogue Hero | - |  | Pay 2 life: Add two mana of any one color. Spend this mana only to cast Equipment spells or activate equip abilities. Activate only once each turn. / {T}, Sacrifice an Equipment attached to 
Henchbots | {4} | Artifact Creature - Robot | - | RMVL | When this creature enters, exile target tapped creature an opponent controls until this creature leaves the battlefield.
Axiom Engraver | {1}{R} | Creature - Phyrexian Wizard | - | WIZ,CANTRIP | This creature enters with two oil counters on it. / {T}, Remove an oil counter from this creature, Discard a card: Draw a card.
Jennika's Technique | {2}{R} | Instant | - | RMVL | Sneak {R} / Jennika's Technique deals 2 damage to each creature.
Scrapwork Rager | {4} | Artifact Creature - Phyrexian Horror | - |  | When this creature enters, you draw a card and you lose 1 life. / Unearth {3}{B}
Boulder Dash | {1}{R} | Sorcery | - | PING | Boulder Dash deals 2 damage to any target and 1 damage to any other target.
Gravpack Monoist | {2}{B} | Creature - Human Scout | - |  | Flying / When this creature dies, create a tapped 2/2 colorless Robot artifact creature token.
Goblin Gathering | {2}{R} | Sorcery | - |  | Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.
Equilibrium Adept | {3}{R} | Creature - Dog Monk | - | CAST-TRIG | When this creature enters, exile the top card of your library. Until the end of your next turn, you may play that card. / Flurry — Whenever you cast your second spell each turn, this creatur
The Ruinous Wrecking Crew | {X}{B}{R} | Legendary Creature - Human Villain | - | CANTRIP,RMVL | The Ruinous Wrecking Crew enters with X +1/+1 counters on it. / When The Ruinous Wrecking Crew enters, choose up to X — / • Discard a card, then draw a card. / • Target opponent loses 2 life
Unsubtle Mockery | {2}{R} | Instant | - | RMVL | Unsubtle Mockery deals 4 damage to target creature. Surveil 1.
Thriving Skyclaw | {2}{R}{R} | Creature - Cat Dragon | - |  | Flying / When this creature enters, you get {E}{E}{E} . / Whenever this creature attacks, you may pay {E}{E}{E}. If you do, put a +1/+1 counter on it.
Swordsman, Sharp Scoundrel | {1}{B} | Legendary Creature - Human Hero Villain | - |  | Whenever another Villain you control enters, attach up to one target Equipment you control to target creature you control. / Whenever an equipped creature you control attacks, it connives.
Strongbox Raider | {2}{R}{R} | Creature - Orc Pirate | - |  | Raid — When this creature enters, if you attacked this turn, exile the top two cards of your library. Choose one of them. Until the end of your next turn, you may play that card.
